Time: 2012/08/24 10:56:02 | Class: class gameProject.RequestThread | Cannot connect to database server trace: java.lang.ClassNotFoundException: com.mysql.jdbc.Driver
Time: 2012/08/24 11:06:21 | Class: class gameProject.RequestThread | Cannot connect to database server trace: java.sql.SQLException: Access denied for user 'theGame'@'localhost' (using password: YES)
Time: 2012/08/24 11:16:29 | Class: class gameProject.GameServer | problem creating server socket trace: java.net.BindException: Address already in use
Time: 2012/08/24 11:16:43 | Class: class gameProject.GameServer | problem creating server socket trace: java.net.BindException: Address already in use
Time: 2012/08/24 14:20:34 | Class: class gameProject.GameServer | problem creating server socket trace: java.net.BindException: Address already in use
Time: 2012/08/24 14:21:24 | Class: class gameProject.GameServer | problem creating server socket trace: java.net.BindException: Address already in use
Time: 2012/08/24 14:21:26 | Class: class gameProject.GameServer | problem creating server socket trace: java.net.BindException: Address already in use
Time: 2012/08/24 14:25:12 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "checkLogin:Iantester,2345" 
Time: 2012/08/24 14:25:54 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "checkLogin:iantester,2345" 
Time: 2012/08/24 19:10:32 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "tileGame" 
Time: 2012/08/24 19:11:47 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "tileGame" 
Time: 2012/08/26 21:32:20 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 21:32:32 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 22:20:47 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 22:20:48 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 22:20:48 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 22:21:28 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "createNewUser:IanTest1,test1,testEmail@email.com" 
Time: 2012/08/26 23:07:58 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "login:Iantest1,test1" 
Time: 2012/08/26 23:07:59 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "login:Iantest1,test1" 
Time: 2012/08/26 23:07:59 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "login:Iantest1,test1" 
Time: 2012/08/26 23:08:00 | Class: class gameProject.RequestThread | SECURITY------INVALID MSG RECIEVED OVER SOCKET ---- CLOSING CON!!! msg "login:Iantest1,test1" 
